songId,artist,genre,duration,playCount,dateAdded
Visions of Midnight Machines,TheEndless Machines,Techno,2:09,64,4/2/2024
Ghosts of Cold Storms, Soft Assembly,R&B,4:08,48,1/8/2016
Stories of Midnight Lies,The Restless Society,EDM,2:41,1115,8/23/1999
Children of Fading Faith,The Empty Ghosts,Drill,4:06,186,2/23/2018
Ghosts of Distant Fire,The Golden Signals,Soul,3:47,168571,7/8/2006
Fragments of Heavy Waves,Holy Society,Punk,3:05,1422,1/11/2024
Songs for Final Machines,TheSoft Voices,Funk,2:25,70,5/2/2000
Echoes of Restless Flowers,Soft Angels,Metal,2:09,141196,9/1/2021
Hymns to Slow Hope,The Bright Youth,Jazz,3:42,1,12/19/2000
Letters to Golden Truth,ThePlastic Wolves,Alternative,2:27,2,3/9/1998
Portrait of Soft Ashes,Electric Shadows,Latin,2:27,35141,4/10/2021
Portrait of Hollow Fire,Velvet Machines,Ambient,2:01,29,1/2/1997
Children of Lonely Fever,The Paper Assembly,Blues,3:51,22757,2/2/2004
Prayer for Distant Shadows,TheHoly Hearts,J-Pop,2:56,112,7/16/2019
Last Days of Hollow Secrets,ThePaper Mirrors,Soundtrack,2:26,6,11/17/2018
Echoes of Velvet Silence,Midnight Saints,Funk,4:08,184,3/28/2011
Stories of Bright Ashes,Neon Hearts,Alternative,3:46,3236,4/8/2018
Last Days of Wild Skies,The Golden Saints,Drill,4:21,5443,2/22/1997
Stories of Lonely Sins,Heavy Youth,EDM,2:33,33,4/13/2010
Songs for Young Voices,TheStatic Hearts,Electronic,4:19,535,4/11/2024
Prayer for Silent Echoes,The Sacred Mirrors,Techno,3:02,35,5/21/1996
Fragments of Bright Stars,The Restless Shadows,Pop,3:19,13,6/2/2017
Children of Dark Flames,The Feral Club,J-Pop,4:28,32223,9/28/2019
Last Days of Golden Ashes,TheMidnight Hearts,Blues,2:24,8121,7/22/2019
Visions of Hidden Shadows, Feral Garden,Ambient,3:45,23,2/7/2006
Hymns to Shattered Lights,The Paper Youth,Afrobeats,3:08,204,1/1/2000
Portrait of Final Storms,The Midnight Static,EDM,2:27,213,2/22/2004
Stories of Hidden Secrets,The Golden Fever,Afrobeats,3:25,3,6/18/2006
Tales from Sacred Flowers, Modern Society,Drill,2:02,158,3/3/2011
Portrait of Cold Storms, Plastic Machines,Country,3:31,192080,2/2/2014
Prayer for Slow Glass, Heavy Flowers,Trap,3:42,22860,2/15/2001
Fragments of Restless Gold,The Golden Lovers,Disco,4:17,32265,11/17/1997
Tales from Dark Faith,The Silent Ghosts,Techno,2:45,5,5/20/2011
Hymns to Distant Time,The Sacred Machines,Metal,4:14,162,4/10/2013
Songs for Heavy Snow, Dark Dreams,Alternative,2:45,2026,4/24/2006
Children of Young Hearts,TheGlass Strangers,Funk,3:45,1479,2/1/1998
Midnight in Heavy Blood,TheStatic Hearts,Drill,3:21,1,10/7/2002
Tales from Soft Bones, Silent Saints,Electronic,3:24,2300,10/21/2020
Fragments of Young Static,Modern Collective,Pop,2:07,19350,8/17/2006
Echoes of Wild Voices,The Lonely Fever,J-Pop,2:36,323,4/27/2014
Portrait of Lonely Blood,The Sacred Fire,Metal,3:38,133,5/19/2008
Children of Distant Static,TheFinal Static,Reggae,4:14,1454,12/21/2020
Letters to Distant Smoke,The Broken Hearts,Disco,2:41,218845,3/11/2012
Portrait of Distant Lights,TheBright Wolves,Hip-Hop,3:41,367,2/17/2013
Last Days of Slow Voices, Electric Static,Reggae,3:08,1958,11/22/2009
Tales from Static Rain,Young Strangers,R&B,2:45,8,12/9/2009
Ballad of Dark Ashes, Heavy Hearts,Indie,2:24,193479,11/1/2009
Portrait of Soft Lies,TheCrimson Static,Alternative,2:15,199626,7/9/2016
The Shape of Broken Mirrors,The Young Club,J-Pop,2:28,225,9/22/2004
Whispers of Slow Storms,TheCold Youth,Reggae,4:19,22,1/21/2012
Echoes of Velvet Sins,The Velvet Sinners,Ambient,2:58,20520,4/24/2024
Songs for Electric Fire,TheSoft Society,Funk,4:07,2,2/16/2017
Dreams of Shattered Night, Silent Society,Drill,2:23,344,2/2/1997
The Shape of Wild Bones, Plastic Shadows,Disco,2:32,2296,6/11/2020
Midnight in Shattered Silence,TheCold Machines,Reggae,3:10,42449,7/28/2007
Midnight in Electric Flames,The Lonely Empire,J-Pop,2:19,2,1/20/1996
Stories of Hollow Snow,Empty Cinema,Afrobeats,2:51,54706,10/25/2009
Hymns to Broken Blood,The False Kids,Country,3:48,21240,9/4/2014
Last Days of Electric Memories,The Restless Cinema,EDM,3:18,809,10/4/2000
Visions of Dark Lights,Hidden Fever,Funk,2:00,5227,11/13/2021
Fragments of Burning Faith,ThePaper Garden,Lo-Fi,2:42,16996,7/23/1999
Echoes of Silent Gold,The Young Lovers,Rock,3:26,990944,4/10/2010
Dreams of Cold Storms,The Feral Assembly,Techno,4:23,11,1/14/2009
Portrait of Neon Faith, Lonely Lovers,Lo-Fi,3:21,245779,5/14/1998
Dreams of Midnight Snow,TheHeavy Shadows,Trap,4:01,224319,3/4/2023
Songs for Midnight Machines,The Static Angels,Electronic,3:54,102006,7/10/2014
Whispers of Hollow Waves,The Wild Empire,Jazz,2:13,712,12/14/1998
Portrait of Slow Mirrors, Feral Saints,Soundtrack,3:08,8,2/5/2022
Letters to Broken Signals,The Empty Static,K-Pop,2:42,20433,7/15/2018
Dreams of Velvet Memories, Final Echoes,Folk,2:44,81,4/27/2014
Tales from Broken Sins,The Restless Lovers,Hip-Hop,4:29,38164,7/8/1996
Echoes of Final Hope, Silent Ghosts,Hip-Hop,3:28,4,8/14/1992
The Shape of Crimson Echoes,Neon Society,Soul,3:20,294751,3/2/2013
Prayer for Crimson Bones,The Lonely Echoes,Afrobeats,3:55,8,10/10/2023
Children of Neon Lights,The Velvet Dreams,Hip-Hop,2:50,13678,11/21/1990
Notes from Hollow Faith,The Young Choir,Punk,3:24,1,3/27/1998
Echoes of Soft Dust,The Midnight Cinema,R&B,4:10,101780,11/13/2014
Requiem for Fading Fire,The Dark Ghosts,Techno,3:53,43,3/28/2007
Prayer for Electric Ashes, Crimson Ghosts,Metal,4:21,6472,9/21/1998
Tales from Final Snow, Wild Flowers,Country,3:56,160,7/12/2017
Children of Crimson Secrets, Paper Strangers,Trap,3:35,87,8/14/2003
Hymns to Bright Hope,The Heavy Ghosts,Punk,3:22,397,5/24/2005
Dreams of Midnight Mirrors,Bright Lovers,House,3:06,1908,9/9/2020
Notes from Neon Storms,The Midnight Hearts,K-Pop,4:20,17865,11/4/2014
Last Days of Velvet Sins,The Crimson Wolves,J-Pop,2:33,796363,4/23/1998
Songs for Endless Smoke,Electric Dreams,Soul,3:23,2,6/19/1999
Ballad of Empty Rivers,Dark Flowers,R&B,3:18,343139,8/14/2017
Stories of Heavy Bones,Dark Empire,Blues,3:57,113426,3/15/1996
Ballad of Young Youth,Feral Society,Funk,3:48,10786,7/4/2024
Echoes of Wild Silence,Dark Static,Jazz,3:43,8,11/3/2009
Children of Soft Rivers,Neon Wolves,Electronic,3:02,158,7/12/2008
Dreams of Restless Silence, Restless Dreams,Afrobeats,3:20,132903,10/21/2013
The Shape of Lonely Faith,Neon Flowers,Lo-Fi,2:31,4241,9/24/2004
Visions of Sacred Signals, Neon Fever,Soundtrack,2:56,2497,1/10/2002
Echoes of Empty Shadows, Cold Ghosts,Country,3:41,9,12/18/2010
Whispers of Shattered Lights,The Modern Wolves,R&B,4:24,8659,8/9/2010
Visions of Hidden Blood,The Endless Choir,Country,3:15,10,3/18/2004
Portrait of Final Flowers,Crimson Flowers,Drill,4:28,24,5/28/2021
Ghosts of Broken Ashes,The Sacred Garden,Blues,3:49,51345,12/11/2021
Letters to Distant Silence,TheFeral Society,Soul,3:03,12617,9/22/1996
Requiem for Midnight Echoes,The Holy Machines,Punk,4:06,2,2/20/2001
Portrait of Empty Truth,TheVelvet Assembly,R&B,3:04,43,10/28/2002
Prayer for Heavy Static,Broken Sinners,Trap,2:54,7,3/3/2021
Hymns to Sacred Fire,The Feral Empire,J-Pop,3:53,1068,6/14/2020
Children of Wild Hope,Electric Shadows,Blues,3:26,8483,2/28/2020
Portrait of Slow Waves,The Modern Cinema,Classical,3:25,395,6/1/2003
Children of Burning Snow, Soft Assembly,Alternative,2:16,1787,4/21/1995
Whispers of Bright Truth,TheFeral Wolves,Country,4:12,2,11/21/2024
Songs for Empty Static, Young Collective,Disco,3:45,1612,3/6/2009
Notes from Forgotten Shadows,The Electric Strangers,Disco,2:18,1885,1/17/2007
Stories of Fading Rivers,TheMidnight Flowers,Metal,3:10,39,8/10/2004
Midnight in Fading Blood,The Hidden Assembly,Classical,2:54,15608,8/5/2005
Stories of Forgotten Rain,Broken Collective,House,3:56,194357,3/25/2018
Notes from Midnight Storms,TheSoft Collective,House,2:14,2,4/2/2015
Portrait of Static Smoke,The Glass Youth,Funk,2:03,72,2/3/2005
Echoes of Burning Mirrors,Holy Club,Pop,2:21,14877,3/4/2013
Stories of Empty Hearts,TheSilent Flowers,Pop,2:49,1978,9/3/2005
Ghosts of Midnight Sins, Broken Flowers,House,4:16,174121,11/13/2010
Visions of Electric Lies,TheVelvet Lovers,Jazz,4:05,138566,5/9/1996
Portrait of Shattered Dreams, Cold Cinema,Lo-Fi,3:30,25,3/8/1997
Last Days of Burning Stars,The Crimson Collective,Soundtrack,3:14,3,8/5/2009
Notes from Young Smoke,Endless Fever,Drill,3:12,23810,1/13/1997
Midnight in Wild Waves,The Hidden Machines,EDM,3:48,901,5/14/2002
Midnight in Shattered Dreams,The Silent Hearts,Techno,2:09,2,8/22/2022
Visions of Neon Echoes, Wild Dreams,Indie,3:16,37669,9/8/2002
Stories of Fading Lies,The Restless Society,Funk,2:58,242,9/13/2024
Prayer for Sacred Shadows,The Paper Fire,Soul,2:08,32074,2/16/2015
Tales from Slow Waves, Golden Lovers,Indie,3:47,15712,1/3/2019
Fragments of Endless Youth,The Dark Angels,Afrobeats,4:11,124,3/19/2011
Echoes of Wild Hope, Golden Static,Disco,2:15,11234,7/23/2013
Stories of Wild Flowers,The Sacred Voices,Lo-Fi,4:12,10,5/18/2004
Fragments of Golden Static,Velvet Fever,Trap,2:34,4,12/22/2019
Echoes of Crimson Flames,Bright Machines,Electronic,2:01,5,10/6/2011
Notes from Sacred Flowers,The Velvet Club,House,2:41,2305,6/17/2011
Songs for Cold Blood,The Wild Youth,Country,3:31,10,12/25/2014
Stories of Burning Glass,The Empty Sinners,Techno,3:32,9,2/16/2003
Songs for Endless Dreams,The Velvet Garden,Drill,3:52,61,8/6/2000
Ballad of Restless Rivers,Feral Garden,Metal,2:53,1009,3/26/2001
Notes from Golden Mirrors, Wild Ghosts,K-Pop,2:32,4150,7/22/2009
Whispers of Distant Truth, Empty Empire,House,3:27,24706,2/9/2006
Stories of Wild Stars, Heavy Mirrors,Soul,2:54,228962,2/12/2023
Midnight in Distant Rain,TheEndless Collective,Funk,3:50,211960,4/10/2013
Echoes of Distant Smoke,The Feral Youth,Electronic,2:48,55441,11/24/2024
Stories of Cold Snow,TheDark Hearts,Trap,4:06,35,7/3/2002
Ghosts of Hidden Lies,The Lonely Shadows,Hip-Hop,3:44,891445,5/26/2014
Echoes of Young Fever,The Glass Youth,Lo-Fi,4:30,848,5/20/2013
Visions of Young Shadows,The Broken Hearts,R&B,3:40,1,2/20/1996
Last Days of Dark Memories,TheLonely Dreams,K-Pop,3:09,3,11/28/2001
Midnight in Lonely Memories, Static Flowers,Metal,3:24,841,8/16/2018
Portrait of Bright Skies,The Broken Sinners,House,2:10,10,2/7/2018
Letters to Forgotten Gold,Hidden Wolves,Disco,3:03,548,4/27/2002
Hymns to Young Gold,TheYoung Assembly,Electronic,2:11,16,12/26/2010
Letters to Hollow Night,TheSoft Garden,Electronic,3:51,9,4/22/2024
Tales from Final Bones,TheEndless Sinners,Country,3:58,3,12/11/2000
Ghosts of Distant Youth, Crimson Lovers,Disco,4:12,922,12/24/2018
Notes from Endless Fever,TheSilent Saints,Metal,3:29,159,12/14/2001
Songs for Slow Echoes,The False Collective,Jazz,4:17,367,6/1/2006
Echoes of Neon Truth,The Static Echoes,Reggae,4:30,1752,5/26/2018
The Shape of Fading Fire,The Feral Strangers,Disco,3:23,174543,6/18/2000
Songs for Endless Waves,TheSacred Saints,Reggae,2:32,325,3/9/2020
Notes from Distant Memories,The Hidden Fever,Latin,2:52,5,6/6/2001
Prayer for Silent Blood, Neon Society,Funk,2:28,48821,1/22/2023
Children of Distant Skies,The Empty Signals,Hip-Hop,2:26,67,5/12/2008
Songs for Neon Time,TheStatic Collective,Funk,3:17,136,8/19/2021
Last Days of Final Rain, Heavy Saints,Electronic,2:40,71664,7/17/2023
Children of Distant Hearts,The Empty Strangers,Soul,4:03,74,7/2/2003
Ghosts of Silent Flowers,The Bright Hearts,Blues,3:22,65,10/1/2022
Requiem for Lonely Blood,The Silent Assembly,R&B,2:18,872478,7/26/2002
Children of Soft Bones,The False Ritual,Disco,4:16,654001,5/6/2006
Visions of Bright Dreams,TheMidnight Ritual,Folk,2:36,101208,9/7/2011
The Shape of Restless Signals,The Broken Hearts,J-Pop,2:54,321485,2/7/2011
Songs for Endless Shadows,Young Dreams,Trap,2:54,5147,7/1/1999
Last Days of Hollow Rain, Midnight Sinners,Rock,3:11,45,11/17/2024
Stories of Dark Glass,TheRestless Angels,Punk,2:44,346,7/15/2003
Stories of Endless Truth,Midnight Angels,Lo-Fi,3:58,10,4/9/2000
Tales from Cold Storms,The Static Youth,Drill,3:54,9,5/25/2015
The Shape of Electric Rain, Wild Echoes,Metal,3:59,795206,4/1/2003
Stories of Wild Voices,The Empty Dreams,Metal,4:11,136,2/22/2012
Notes from Shattered Signals,The Velvet Fever,Classical,3:59,1455,5/15/1995
Portrait of Sacred Stars,The Final Static,R&B,2:20,286019,3/7/2021
Ballad of Restless Rain,ThePaper Hearts,Soundtrack,3:55,2,4/2/1996
Portrait of Heavy Gold,The Glass Lovers,Funk,2:06,472763,10/19/2020
Fragments of Lonely Gold, Neon Shadows,Country,3:24,352048,6/4/2006
Portrait of Slow Flames, Dark Echoes,Drill,2:24,1378,1/25/2023
Visions of Soft Hearts,TheModern Youth,K-Pop,3:44,37,12/16/1998
Visions of Fading Eyes, Heavy Ghosts,Soundtrack,2:25,53365,11/25/2013
Last Days of Final Lights, Bright Collective,Rock,3:49,349191,10/25/2016
Visions of Neon Voices, Soft Mirrors,Disco,4:01,11298,6/17/2010
Ghosts of Broken Sins,ThePlastic Garden,Ambient,2:57,122332,5/4/2013
Letters to Neon Echoes,The Cold Sinners,Folk,3:39,2,3/20/2006
Midnight in Heavy Rain,TheBroken Club,Latin,3:36,34104,7/6/2007
Children of Final Hearts,The Hidden Kids,Latin,3:17,41786,6/9/2007
Tales from Final Snow, Final Cinema,R&B,4:04,1,9/15/2012
Echoes of Empty Memories, Glass Wolves,Soul,3:16,101858,6/26/1996
The Shape of Endless Eyes,The Silent Choir,Blues,4:17,369441,3/4/2018
Ghosts of Dark Lies,Endless Garden,Drill,4:00,23,1/2/2012
Last Days of Wild Silence,The Feral Signals,Metal,3:49,254,3/10/2014
Last Days of Endless Rivers, Hidden Hearts,R&B,2:07,26,5/24/2022
Tales from Crimson Gold,Modern Wolves,Soul,4:24,106857,10/11/2003
Echoes of Final Stars,The Golden Hearts,Soundtrack,2:58,505666,9/13/2013
Stories of Sacred Gold,The Restless Garden,Lo-Fi,2:26,7,3/24/2014
Requiem for Endless Rivers,Golden Club,Folk,3:09,38,3/6/2003
Prayer for Soft Lies,The Hidden Static,Metal,4:02,58680,11/6/1995
Portrait of Endless Time,The Hidden Voices,Blues,4:09,32,8/2/1999
Dreams of Burning Flames,The Golden Assembly,Trap,3:43,27,10/7/2003
Notes from Young Glass,TheElectric Voices,R&B,3:27,201361,11/24/1995
Midnight in Wild Rivers, Final Dreams,EDM,2:39,64,1/16/2023
Midnight in Distant Machines, Endless Mirrors,Rock,3:39,20554,9/12/2022
Requiem for Velvet Hearts,The Velvet Signals,Pop,4:22,85125,10/17/2020
Visions of Hidden Night,The Restless Saints,Punk,4:16,23,12/3/2000
Fragments of Slow Sins,Cold Youth,R&B,2:01,44,4/12/2024
Tales from Distant Lights,TheYoung Sinners,Reggae,2:41,7493,2/15/2021
Songs for Sacred Silence,The Sacred Shadows,Punk,2:17,79389,5/8/2013
Children of Electric Ashes,The Restless Dreams,Blues,4:27,86,1/3/1999
Dreams of Velvet Blood, Endless Ghosts,Electronic,4:29,6,1/8/2008
Requiem for Wild Secrets,TheCrimson Hearts,Soul,4:20,2,12/23/1996
Children of Hollow Night,The Soft Flowers,Trap,3:58,1003,10/28/2017
Children of Lonely Blood,The Young Angels,Blues,4:03,869054,1/15/2014
Midnight in Crimson Hope,The Glass Echoes,Blues,3:35,32,3/12/1997
Hymns to Young Machines, Lonely Wolves,K-Pop,4:20,158213,11/1/2020
Stories of Broken Machines,Plastic Club,Afrobeats,3:17,696785,11/12/2016
Notes from Shattered Voices,The Soft Angels,R&B,2:28,886421,10/1/2018
Letters to Cold Truth,TheBroken Saints,Soundtrack,3:58,2433,6/4/2006
Letters to Endless Bones,The Final Hearts,J-Pop,2:47,174,12/16/2014
Songs for Distant Ashes,TheCold Garden,Hip-Hop,3:23,69,11/8/1995
Midnight in Broken Storms, Glass Static,Latin,3:20,20,2/9/2014
The Shape of Cold Truth,TheHoly Signals,Funk,4:17,6,5/24/2010
Ghosts of Velvet Shadows,TheBright Ghosts,Disco,3:46,26,5/3/1995
Hymns to Crimson Rain,Feral Ghosts,Trap,2:54,4657,2/19/2003
Notes from Shattered Snow,The Empty Mirrors,Soul,3:32,511,11/23/2012
Notes from Final Youth, Static Club,Folk,2:58,148475,2/19/2016
Visions of Young Static,Endless Club,Afrobeats,4:26,447206,4/26/2013
Dreams of Neon Voices,TheElectric Fever,Jazz,3:33,42537,9/9/2023
Whispers of Distant Youth,The Silent Youth,Blues,3:28,17,3/14/2000
Portrait of Sacred Lights,The Sacred Assembly,Lo-Fi,2:18,363,11/21/2004
Tales from Restless Fire, Endless Youth,K-Pop,2:25,531723,4/12/2001
Last Days of Silent Mirrors, Empty Club,Funk,3:47,147258,6/5/2007
Prayer for Slow Blood,The Broken Club,J-Pop,2:53,34,6/20/1996
Children of Dark Bones, Restless Hearts,Alternative,4:10,120,11/7/2009
Echoes of Hollow Truth,ThePaper Static,J-Pop,3:47,16,4/19/1998
Fragments of Dark Signals,TheRestless Ritual,Metal,2:03,3401,4/16/2009
Last Days of Fading Flames,Neon Hearts,Folk,3:01,17968,11/28/2001
Whispers of Fading Waves,TheSoft Shadows,Folk,3:40,10,1/19/1997
Last Days of Lonely Fire,Velvet Cinema,Latin,3:32,21614,8/2/2002
Fragments of Soft Faith,TheBroken Choir,Electronic,2:04,22,7/25/2012
Midnight in Electric Mirrors,The Holy Machines,Drill,3:11,494881,9/9/2007
Ballad of Endless Flames,The Neon Kids,Techno,2:50,12,6/13/2023
Echoes of Final Dust,The Bright Choir,Soundtrack,3:26,61,3/9/2022
Last Days of Broken Stars,The Cold Strangers,Hip-Hop,4:18,2159,2/25/2019
Stories of Electric Glass,Wild Ghosts,Drill,2:56,33,10/11/2000
Stories of Velvet Hearts, Silent Kids,Techno,4:07,5,7/16/2012
Ghosts of Burning Youth, False Fire,J-Pop,4:08,26,4/10/2002
Songs for Sacred Rivers,The Holy Shadows,Jazz,2:33,274,11/7/1997
Tales from Lonely Glass,The Paper Empire,Reggae,2:53,27815,7/18/2009
Fragments of Bright Mirrors, Dark Choir,Pop,3:50,77,3/7/2016
Portrait of Hidden Waves, Velvet Assembly,Punk,2:31,145180,9/19/2014
Prayer for Heavy Mirrors,Feral Saints,Punk,2:25,3,4/19/1997
Visions of Hollow Eyes,The Sacred Kids,Disco,2:21,3,2/6/2016
Ballad of Midnight Skies,The Paper Youth,J-Pop,3:47,417640,2/20/2008
Dreams of Wild Signals,The Midnight Fire,Country,2:51,555622,6/15/2024
Children of Young Time,The Silent Saints,Soul,3:19,176141,2/23/2021
Songs for Young Waves,TheBright Sinners,Punk,3:41,2832,11/18/2009
Tales from Hidden Lights,The Empty Shadows,EDM,2:34,758,1/24/2004
Whispers of Cold Signals,Heavy Strangers,Funk,3:12,672666,2/20/2020
The Shape of Fading Secrets,The Sacred Fire,Jazz,2:14,39594,2/28/2008
Notes from Distant Truth, Plastic Collective,Country,2:20,9,12/14/2022
Last Days of Empty Fever, Wild Choir,Latin,2:17,37889,8/4/2001
Dreams of Bright Stars, Heavy Static,K-Pop,3:22,317426,9/27/2021
The Shape of Midnight Ashes,The Soft Ritual,R&B,3:38,81,1/24/1999
Dreams of Lonely Stars,TheModern Empire,Pop,3:25,9961,9/25/2006
Songs for Heavy Dreams,TheModern Garden,Electronic,2:49,21,5/7/2015
Dreams of Forgotten Storms, Endless Lovers,Reggae,3:28,34235,8/12/2012
Hymns to Static Echoes,The Endless Fire,Blues,3:22,19,1/9/2023
Songs for Electric Hope,The Final Ghosts,Trap,3:41,28572,7/1/1995
Children of Crimson Dust, Bright Fire,Blues,3:31,42383,4/9/2011
Echoes of Hollow Shadows,TheHeavy Collective,Hip-Hop,3:22,581,5/27/2022
Songs for Endless Ashes,TheLonely Strangers,Punk,2:36,2198,1/22/2022
